LAMBDA,FLUX,FERROR
8202.989,-7.532185231242552e-18,4.599016680731171e-18
8226.935,-1.9431848739511255e-18,3.421250981666967e-18
8227.2,2.3760902803037398e-18,4.331894022295684e-18
8227.440999999999,-1.4559603874739943e-18,4.418824220103004e-18
8227.571,1.065530750017941e-18,5.931969051446395e-18
8251.14,4.482804601124885e-18,4.163334985625282e-18
8251.382,1.7308466155449285e-18,3.2223602876869912e-18
8251.625,-2.184652775568428e-18,5.738173081015316e-18
8251.8955,3.2281748204855553e-19,4.2498189053223165e-18
8275.829,6.943886927276166e-18,3.063730695615649e-18
8276.075,-1.103402689236843e-18,5.479935751200934e-18
8276.348,2.228904995617006e-18,3.995457252327842e-18
8276.561,4.661857636591669e-18,4.009743872366634e-18
8300.276,5.37859470948967e-18,3.0954014692479838e-18
8300.526,1.1361189814834545e-18,5.314968048374927e-18
8300.548,3.553491066233602e-19,3.8948948534401595e-18
8300.801,8.107791207578317e-18,3.832588674682396e-18
8324.724,4.095621617391875e-18,3.2574614132773145e-18
8324.976999999999,6.161271676354479e-18,5.194038205553264e-18
8324.997,7.280794210069707e-19,3.825095837135428e-18
8325.254,1.1356089038855233e-17,3.698547317007904e-18
8347.788,2.2234521336824633e-18,2.8728472775536333e-18
8349.428,-3.3770676383872424e-18,5.296770898992242e-18
8349.446,-9.517342738034972e-19,3.784169659143747e-18
8349.707,2.7469186844016587e-18,4.3586359314977905e-18
8373.877,-1.173343776888534e-17,4.8680867307992714e-18
8373.8955,-1.0756382942614322e-18,3.732566290869008e-18
8374.159,7.421396836792821e-18,4.3825034306840104e-18
8374.963,-1.415845979401001e-18,2.5385779861919525e-18
8398.056999999999,-5.280710305351233e-18,2.5830767900340322e-18
8398.326,2.878026247222825e-18,5.037986982117574e-18
8398.341,-1.741628942050715e-18,3.681666194762813e-18
8398.61,5.979988180331566e-18,3.416818728062355e-18
8422.504,-1.1450738656316299e-18,2.549430718915838e-18
8422.79,8.208199538754971e-19,3.4185542419172615e-18
8422.792,2.045954524805021e-18,4.6067014505535286e-18
8423.063,-1.814140017182421e-18,3.3330510595682255e-18
8446.805,6.082079752934787e-18,3.3004125833034734e-18
8446.951,8.95254875978268e-20,2.4938128195863496e-18
8447.2295,-5.701664768332502e-18,4.357018477668701e-18
8447.517,1.0736822222221804e-18,3.171599103848867e-18
8471.398000000001,-1.7556055800133644e-18,2.406154966952627e-18
8471.68,-3.583016440272602e-18,4.19285684098617e-18
8471.97,-2.8689634993124215e-18,3.063431796593514e-18
8472.085,5.251835969603287e-18,3.1792998509112555e-18
8495.846,1.1203479939182963e-18,2.3331883339167748e-18
8496.131,-4.494291280176057e-18,4.097499605758381e-18
8496.138,-2.1120365624845794e-18,3.00125745281926e-18
8496.421999999999,-1.6326869263475923e-18,2.967238986675826e-18
8520.293,-1.5365651819387158e-18,2.2751281738006985e-18
8520.581,-1.2473339280752563e-18,3.916026576779131e-18
8520.587,-1.9298152062997195e-18,2.907038855497443e-18
8520.876,-4.208382277304981e-18,2.992991992087594e-18
8543.383,-5.21058214546712e-18,2.163373472997001e-18
8545.032,-3.139557007533699e-18,3.734046938585177e-18
8545.037,-4.734889579352687e-18,2.8341996100201946e-18
8545.328000000001,-5.73861917210578e-18,2.9551940379041727e-18
8568.917,-1.0809742227004122e-17,2.7681570575022333e-18
8569.483,-7.293299270893847e-18,3.6341087101058185e-18
8569.780999999999,-8.112846058927475e-18,2.8972867929523503e-18
8570.5,-4.7681068740184456e-18,2.098517509200498e-18
8593.635,-2.280230150051974e-18,2.2078381272194278e-18
8593.93,-8.686128816157213e-18,3.688437487513591e-18
8594.234,-1.0081011268183991e-17,2.854334445183885e-18
8594.407,-7.32829634892933e-18,2.7132392517844227e-18
8618.083,-3.2341808181600904e-18,2.2205173273416082e-18
8618.385,-5.714525589559524e-18,2.6803091724088447e-18
8618.395,8.607212438296656e-19,3.6034022437201546e-18
8618.45,-4.348772186714109e-19,2.9015404562839088e-18
8642.53,-7.471395412222136e-18,2.222990694194499e-18
8642.834,-4.4574883334120116e-18,2.6309941083014876e-18
8642.836,1.4683702487660196e-18,3.617721659514663e-18
8643.48,-9.719983052441933e-18,2.8592461205836244e-18
8666.95,-6.6564616539984965e-18,2.2241651374766067e-18
8667.283000000001,4.5263599139321486e-18,2.5470802258334524e-18
