LAMBDA,FLUX,FERROR,MASKGOOD
8347.788,2.2234521336824637e-18,2.872847277553633e-18,False
8349.428,-3.3770676383872424e-18,5.296770898992242e-18,False
8349.446,-9.517342738034972e-19,3.7841696591437464e-18,False
8349.707,2.7469186844016587e-18,4.358635931497791e-18,False
8373.877,-1.173343776888534e-17,4.8680867307992714e-18,True
8373.8955,-1.0756382942614322e-18,3.732566290869008e-18,False
8374.159,7.421396836792821e-18,4.382503430684009e-18,True
8374.963,-1.4158459794010009e-18,2.5385779861919525e-18,False
8398.056999999999,-5.280710305351233e-18,2.583076790034032e-18,True
8398.326,2.8780262472228247e-18,5.037986982117573e-18,False
8398.341,-1.741628942050715e-18,3.681666194762813e-18,False
8398.61,5.979988180331566e-18,3.4168187280623547e-18,True
8422.504,-1.1450738656316299e-18,2.549430718915838e-18,False
8422.79,8.20819953875497e-19,3.418554241917261e-18,False
8422.792,2.045954524805021e-18,4.6067014505535286e-18,False
8423.063,-1.814140017182421e-18,3.3330510595682247e-18,False
8446.805,6.082079752934787e-18,3.300412583303473e-18,True
8446.951,8.95254875978268e-20,2.4938128195863496e-18,False
8447.2295,-5.701664768332502e-18,4.357018477668701e-18,True
8447.517,1.0736822222221804e-18,3.171599103848867e-18,False
8471.398000000001,-1.7556055800133644e-18,2.4061549669526268e-18,False
8471.68,-3.583016440272602e-18,4.19285684098617e-18,False
8471.97,-2.868963499312421e-18,3.0634317965935137e-18,False
8472.085,5.251835969603287e-18,3.1792998509112555e-18,True
8495.846,1.1203479939182963e-18,2.3331883339167744e-18,False
8496.131,-4.494291280176057e-18,4.097499605758381e-18,True
8496.138,-2.1120365624845794e-18,3.00125745281926e-18,False
8496.421999999999,-1.6326869263475925e-18,2.9672389866758263e-18,False
8520.293,-1.5365651819387158e-18,2.2751281738006985e-18,False
8520.581,-1.2473339280752563e-18,3.916026576779131e-18,False
8520.587,-1.9298152062997195e-18,2.907038855497443e-18,False
8520.876,-4.208382277304981e-18,2.9929919920875936e-18,True
8543.383,-5.21058214546712e-18,2.163373472997001e-18,True
8545.032,-3.1395570075336987e-18,3.734046938585177e-18,False
8545.037,-4.734889579352687e-18,2.8341996100201942e-18,True
8545.328000000001,-5.7386191721057795e-18,2.9551940379041723e-18,True
8568.917,-1.0809742227004122e-17,2.768157057502233e-18,True
8569.483,-7.293299270893847e-18,3.634108710105818e-18,True
8569.780999999999,-8.112846058927475e-18,2.8972867929523503e-18,True
8570.5,-4.7681068740184456e-18,2.098517509200498e-18,True
8593.635,-2.2802301500519738e-18,2.207838127219428e-18,True
8593.93,-8.686128816157213e-18,3.688437487513591e-18,True
8594.234,-1.0081011268183993e-17,2.854334445183885e-18,True
8594.407,-7.32829634892933e-18,2.7132392517844227e-18,True
8618.083,-3.2341808181600904e-18,2.220517327341608e-18,True
8618.385,-5.714525589559523e-18,2.6803091724088447e-18,True
8618.395,8.607212438296656e-19,3.603402243720154e-18,False
